sku,cat1,cat2,cat3
184211,Cosmética y Belleza,Facial,Maquillajes
184213,Cosmética y Belleza,Facial,Maquillajes
184216,Cosmética y Belleza,Corporal,Piel Seca y atópica
184218,Higiene y cuidado personal,Dental,Cepillos
184246,Infantil,Accesorios de alimentación,Útiles de Aprendizaje
184247,Infantil,Accesorios de alimentación,Útiles de Aprendizaje
184256,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
184258,Higiene y cuidado personal,Cabello,Anticaída
184264,Cosmética y Belleza,Facial,Piel Seca
"184271,Salud,""Huesos, articulaciones y músculos"",Colágeno"
184272,Cosmética y Belleza,Corporal,Piel Seca y atópica
184273,Cosmética y Belleza,Facial,Hidratantes
184274,Salud,Descanso y relajación,
184276,Cosmética y Belleza,Facial,Piel Atópica
184286,Salud,Salud Sexual,Falta de Deseo
184303,Higiene y cuidado personal,Dental,Dentífricos
184304,Higiene y cuidado personal,Dental,Colutorios
184310,Cosmética y Belleza,Facial,Acné
184312,Nutrición,Nutrición específica, Niños
184318,Higiene y cuidado personal,Íntima,Limpieza
184331,Cosmética y Belleza,Facial,Maquillajes
184334,Higiene y cuidado personal,Nariz y oído,Limpieza
184335,Cosmética y Belleza,Sol,Solar Pelo
184336,Cosmética y Belleza,Sol,Solar Pelo
184337,Cosmética y Belleza,Sol,Aceite Solar
184338x3,Higiene y cuidado personal,Cabello,Anticaída
184352,Cosmética y Belleza,Sol,Protectores solares
184353,Cosmética y Belleza,Sol,Protectores solares
184354,Cosmética y Belleza,Sol,Protectores solares
184356,Cosmética y Belleza,Sol,Protectores solares
184357,Infantil,Higiene infantil,Hidratantes
184361,Cosmética y Belleza,Facial,Rojeces
"184385,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
184397,Nutrición,Nutrición Deportiva,Isotónicos y recuperadores
184398,Infantil,Alimentación infantil,Leches infantiles
184399,Infantil,Alimentación infantil,Leches infantiles
184419,Higiene y cuidado personal,Íntima,Hidratantes
184420,Salud,Mujer,Embarazo y lactancia
184445,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
184450.1,Infantil,Biberones,Biberones
184450.2,Infantil,Biberones,Biberones
184513,Salud,Mujer,Embarazo y lactancia
184524,Salud,Óptica,Toallitas Oculares
184525,Cosmética y Belleza,Facial,Hidratantes
184527,Higiene y cuidado personal,Cabello,Champu
"184537x2,Salud,""Huesos, articulaciones y músculos"",Colágeno"
184538,Cosmética y Belleza,Facial,Antiarrugas
184539,Cosmética y Belleza,Facial,Antimanchas
184562,Higiene y cuidado personal,Dental,Dentífricos
184565,Salud,Problemas cardiovasculares y circulación,Colesterol
"184570,Salud,""Huesos, articulaciones y músculos"",Colágeno"
184582,Higiene y cuidado personal,Cabello,Champu
184583,Higiene y cuidado personal,Cabello,Champu
184587,Cosmética y Belleza,Facial,Acné
184588,Salud,Botiquín,Antimosquitos
184590,Salud,Botiquín,Antimosquitos
184591,Salud,Botiquín,Antimosquitos
"184595,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"184602,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
184615,Infantil,Higiene infantil,Hidratantes
184616,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
184617,Cosmética y Belleza,Facial,Acné
184618,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
184619,Salud,Ortopedia,Zapatos y Zuecos
184628,Higiene y cuidado personal,Dental,Colutorios
184670,Cosmética y Belleza,Facial,Hidratantes
184672,Cosmética y Belleza,Ojos,Contorno de Ojos
184682,Infantil,Higiene infantil,Toallitas Bebé
184684,Infantil,Higiene infantil,Gel-Champú
184693,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
184702,Cosmética y Belleza,Labial,Hidratantes Labiales
184703,Cosmética y Belleza,Sol,Protección Nieve
184715,Cosmética y Belleza,Facial,Antiarrugas
184718,Higiene y cuidado personal,Dental,Cuidados Especiales
184720,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
184722,Cosmética y Belleza,Ojos,Contorno de Ojos
184727,Salud,Botiquín,Verrugas
"184728,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"184729,Salud,""Huesos, articulaciones y músculos"",Colágeno"
184750,Higiene y cuidado personal,Dental,Cepillos Interdentales
184751,Higiene y cuidado personal,Dental,Cepillos Interdentales
184752,Salud,Belleza,piel
184757,Higiene y cuidado personal,Nariz y oído,Limpieza
184760,Cosmética y Belleza,Sol,Protección Nieve
184775,Salud,Vitaminas y Minerales,Multivitamínicos
184785,Salud,Vitaminas y Minerales, Multivitamínicos
184805,Salud,Trastornos digestivos ,Flora intestinal y digestión
184818,Infantil,Higiene infantil,Crema pañal
184824,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
184825,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
184826,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
184827,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
184828,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
184829,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
184834,Higiene y cuidado personal,Dental,Cuidados Especiales
184837,Higiene y cuidado personal,Cabello,Anticaída
184839,Higiene y cuidado personal,Dental,Cuidados Especiales
184847,Salud,Óptica,Colirios
184857,Higiene y cuidado personal,Facial,Mascarillas
184859,Higiene y cuidado personal,Facial,Mascarillas
184862,Salud,Botiquín,Quemaduras y cicatrices
184863,Cosmética y Belleza,Manos,Crema de Manos
184866,Higiene y cuidado personal,Dental,Prótesis Dentales
"184870.3,Salud,Botiquín,""Apósitos, tiritas y gasas"""
184884,Salud,Problemas cardiovasculares y circulación,Colesterol
184886,Salud,Vitaminas y Minerales, Vitaminas
184897,Cosmética y Belleza,Sol,Protección Nieve
"184921,Salud,""Huesos, articulaciones y músculos"",Colágeno"
184931,Salud,Mujer,Embarazo y lactancia
184932,Salud,Mujer,Infecciones íntimas
184933,Salud,Mujer,Infecciones íntimas
184941,Salud,Óptica,Colirios
184951,Salud,Vitaminas y Minerales,
184953,Salud,Vitaminas y Minerales,
184954,Cosmética y Belleza,Perfumería,Mujer
184955,Cosmética y Belleza,Perfumería,Mujer
184957,Cosmética y Belleza,Perfumería,Mujer
184959,Cosmética y Belleza,Perfumería,Mujer
184972,Infantil,Biberones,Biberones
184977,Nutrición,Pérdida de peso,Quemagrasas
184982,Salud,Problemas cardiovasculares y circulación,Colesterol
184988,Cosmética y Belleza,Facial,Acné
184997,Salud,Botiquín,Termómetros
184998,Salud,Belleza,Piel
184999,Salud,Descanso y relajación,
185001,Nutrición,Pérdida de peso,Quemagrasas
185003,Higiene y cuidado personal,Cabello,Anticaída
185004,Higiene y cuidado personal,Cabello,Anticaída
185005,Higiene y cuidado personal,Cabello,Champús especiales
185006,Higiene y cuidado personal,Cabello,Champús especiales
185007,Higiene y cuidado personal,Cabello,Anticaída
185008,Higiene y cuidado personal,Cabello,Peinado y tratamiento
185010,Higiene y cuidado personal,Cabello,Peinado y tratamiento
185012,Salud,Salud Sexual,Lubricantes
185020,Salud,Problemas cardiovasculares y circulación,Colesterol
185021,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
185047,Cosmética y Belleza,Perfumería,Hombre
185048,Cosmética y Belleza,Perfumería,Hombre
185049,Cosmética y Belleza,Perfumería,Hombre
185053,Salud,Aparato Urinario,cistitis
185054,Salud,Vitaminas y Minerales,Suplementos
"185068,Salud,""Huesos, articulaciones y músculos"",Colágeno"
185069,Salud,Mujer,Embarazo y lactancia
185070,Salud,Mujer,Embarazo y lactancia
185084,Salud,Belleza,Piel
185095,Salud,Problemas cardiovasculares y circulación,Colesterol
185110,Higiene y cuidado personal,Corporal,Exfoliantes
185111,Cosmética y Belleza,Corporal,Hidratación
185112,Cosmética y Belleza,Corporal,Hidratación
185115,Cosmética y Belleza,Facial,Antiarrugas
185155,Infantil,Alimentación infantil,Papillas
185157,Infantil,Alimentación infantil,Leches infantiles
185158,Cosmética y Belleza,Facial,Antiarrugas
185161,Higiene y cuidado personal,Dental,Cepillos Interdentales
"185163,Salud,Botiquín,""Apósitos, tiritas y gasas"""
185173,Infantil,Alimentación infantil,Leches infantiles
185175,Cosmética y Belleza,Facial,Ampollas
185177,Higiene y cuidado personal,Pies,Desodorante de Pies
185185 (41021),Cosmética y Belleza,Labial,Con Protección Solar
185186(41020),Cosmética y Belleza,Labial,Con Protección Solar
185187(41022),Cosmética y Belleza,Labial,Con Protección Solar
185192,Nutrición,Alimentos,Edulcorantes
185197,Cosmética y Belleza,Facial,Piel Atópica
185200,Salud,Aparato Respiratorio,Garganta y tos
185221,Salud,Trastornos digestivos ,
185254,Salud,Mujer,Menopausia
"185288,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
"185289,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
185291,Salud,Botiquín,Desinfectantes
185300,Salud,Problemas cardiovasculares y circulación,Colesterol
185315,Cosmética y Belleza,Facial,Hidratantes
185316,Salud,Aparato Urinario,cistitis
185317,Salud,Aparato Urinario,cistitis
185318,Cosmética y Belleza,Facial,Maquillajes
185319,Cosmética y Belleza,Facial,Maquillajes
185321,Cosmética y Belleza,Facial,Maquillajes
185324,Cosmética y Belleza,Facial,Maquillajes
185326,Higiene y cuidado personal,Cabello,Champús especiales
185327,Cosmética y Belleza,Facial,Antiarrugas
185330,Higiene y cuidado personal,Corporal,Geles
185330.pack,Higiene y cuidado personal,Corporal,Geles
185331,Higiene y cuidado personal,Cabello,Anticaída
185338,Salud,Mujer,Menopausia
185339,Salud,Trastornos digestivos ,Flora intestinal y digestión
"185350,Salud,""Huesos, articulaciones y músculos"",Colágeno"
185415,Salud,Óptica,Colirios
185416,Higiene y cuidado personal,Nariz y oído,Limpieza
185417,Cosmética y Belleza,Facial,Rojeces
185418,Higiene y cuidado personal,Corporal,Desodorantes
185419,Higiene y cuidado personal,Dental,Colutorios
185425,Higiene y cuidado personal,Pies,Limas y durezas
185436,Salud,Vitaminas y Minerales,
185450,Cosmética y Belleza,Ojos,Contorno de Ojos
185451,Cosmética y Belleza,Facial,Antiarrugas
185452,Cosmética y Belleza,Facial,Antiarrugas
185477,Cosmética y Belleza,Sol,Protectores solares
185478,Cosmética y Belleza,Sol,Protectores solares
185484,Salud,Trastornos digestivos ,Flora intestinal y digestión
185493,Salud,Vitaminas y Minerales,Multivitamínicos
185501,Infantil,Higiene infantil,Gel-Champú
185505,Higiene y cuidado personal,Íntima,Hidratantes
185507,Higiene y cuidado personal,Íntima,Hidratantes
185526,Cosmética y Belleza,Perfumería,Hombre
185527,Cosmética y Belleza,Perfumería,Mujer
185528,Cosmética y Belleza,Perfumería,Mujer
185532,Infantil,Lactancia,Pezoneras
185533,Infantil,Lactancia,Pezoneras
185582,Cosmética y Belleza,Ojos,Contorno de Ojos
185592,Cosmética y Belleza,Ojos,Contorno de Ojos
185596,Cosmética y Belleza,Facial,Antiarrugas
185599,Cosmética y Belleza,Facial,Hidratantes
185601,Higiene y cuidado personal,Dental,Colutorios
185605,Higiene y cuidado personal,Dental,Dentífricos
185629,Higiene y cuidado personal,Corporal,Desodorantes
185629.duplo,Higiene y cuidado personal,Corporal,Desodorantes
185647,Infantil,Chupetes,Chupetes de Silicona
185649,Infantil,Chupetes,Chupetes de Silicona
185650,Infantil,Chupetes,Chupetes de Silicona
185651,Salud,Óptica,Colirios
185695,Cosmética y Belleza,Facial,Acné
185705,Salud,Aparato Respiratorio,Garganta y tos
185706,Salud,Vitaminas y Minerales,Jalea real
185707,Higiene y cuidado personal,Corporal,Desodorantes
185774,Salud,Vitaminas y Minerales,Suplementos
185799,Higiene y cuidado personal,Dental,Irrigadores Bucales
185812,Cosmética y Belleza,Facial,Maquillajes
185813,Cosmética y Belleza,Facial,Maquillajes
185814,Salud,Aparato Urinario,Próstata
185825,Nutrición,Nutrición específica,Adultos
185840,Cosmética y Belleza,Corporal,Hidratación
185852,Cosmética y Belleza,Sol,Protectores solares
185853,Cosmética y Belleza,Sol,Protectores solares
185857,Cosmética y Belleza,Labial,Hidratantes Labiales
185870,Salud,Botiquín,Antimosquitos
185893,Salud,Ortopedia,Básculas
185924,Cosmética y Belleza,Facial,Acné
185925,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
185927,Cosmética y Belleza,Facial,Acné
185928,Cosmética y Belleza,Facial,Acné
185929,Cosmética y Belleza,Facial,Acné
185930,Cosmética y Belleza,Facial,Acné
"185945,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
185950,Higiene y cuidado personal,Íntima,Limpieza
185967,Cosmética y Belleza,Corporal,Hidratación
185978,Cosmética y Belleza,Facial,Antiarrugas
185979,Cosmética y Belleza,Facial,Antimanchas
185980,Cosmética y Belleza,Facial,Ampollas
185981,Cosmética y Belleza,Facial,Antiarrugas
185982,Cosmética y Belleza,Facial,Antimanchas
185985,Cosmética y Belleza,Facial,Acné
185988,Cosmética y Belleza,Facial,Hidratantes
186033,Salud,Mujer,Menopausia
186035,Salud,Descanso y relajación,
186041,Cosmética y Belleza,Sol,Protectores solares
186050,Cosmética y Belleza,Sol,Protectores solares
186073,Salud,Vitaminas y Minerales,Multivitamínicos
186074,Salud,Vitaminas y Minerales,Multivitamínicos
186075,Salud,Vitaminas y Minerales,Multivitamínicos
186077,Higiene y cuidado personal,Íntima,Hidratantes
186133,Salud,Fertilidad,Fertilidad y concepción
186134,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
186136,Salud,Trastornos digestivos ,Flora intestinal y digestión
186138,Salud,Mujer,Infecciones íntimas
186139,Salud,Descanso y relajación,
186141,Cosmética y Belleza,Corporal,Hidratación
186146,Infantil,Higiene infantil,Esponjas
186192,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
186207,Cosmética y Belleza,Sol,Aceite Solar
186211,Cosmética y Belleza,Sol,Protectores solares
186212,Cosmética y Belleza,Sol,Protectores solares
186214,Cosmética y Belleza,Sol,Protectores solares
"186215,Salud,""Huesos, articulaciones y músculos"", Dolores articulares"
186244,Cosmética y Belleza,Facial,Serum
186248,Cosmética y Belleza,Facial,Rojeces
186251,Cosmética y Belleza,Sol,Protectores solares
186252,Cosmética y Belleza,Sol,Protectores solares
186253,Cosmética y Belleza,Facial,Maquillajes
186257,Higiene y cuidado personal,Dental,Cepillos
186273,Cosmética y Belleza,Facial,Antiarrugas
186274,Cosmética y Belleza,Facial,Antiarrugas
"186277,Salud,Botiquín,""Apósitos, tiritas y gasas"""
"186278,Salud,Botiquín,""Apósitos, tiritas y gasas"""
186287,Cosmética y Belleza,Hombres,Antiarrugas Hombre
186308,Higiene y cuidado personal,Cabello,Mascarillas
186309,Higiene y cuidado personal,Cabello,Champu
186310,Higiene y cuidado personal,Cabello,Anticaída
186311,Higiene y cuidado personal,Cabello,Champu
186314,Higiene y cuidado personal,Íntima,Limpieza
186316,Higiene y cuidado personal,Dental,Cepillos eléctricos
186352,Cosmética y Belleza,Facial,Antimanchas
186354,Cosmética y Belleza,Facial,Rojeces
186358,Higiene y cuidado personal,Íntima,Copas menstruales
186363,Salud,Salud Sexual,Accesorios
186370,Cosmética y Belleza,Corporal,Estrias
186394,Salud,Problemas cardiovasculares y circulación,
186396,Salud,Problemas cardiovasculares y circulación,
186401,Salud,Vitaminas y Minerales,Suplementos
186416,Higiene y cuidado personal,Cabello,Mascarillas
186424,Cosmética y Belleza,Ojos,Contorno de Ojos
186425,Cosmética y Belleza,Facial,Antiarrugas
186426,Cosmética y Belleza,Facial,Hidratantes
186427,Cosmética y Belleza,Facial,Serum
186428,Cosmética y Belleza,Facial,Hidratantes
186430,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
186431,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
186443,Cosmética y Belleza,Facial,Hidratantes
186465,Higiene y cuidado personal,Dental,Cuidados Especiales
186476,Cosmética y Belleza,Facial,Hidratantes
186480.2,Cosmética y Belleza,Facial,Ampollas
186482.6,Cosmética y Belleza,Facial,Ampollas
186491,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
186499,Cosmética y Belleza,Sol,Protectores solares
186511,Higiene y cuidado personal,Dental,Cepillos eléctricos
186512,Higiene y cuidado personal,Dental,Cepillos eléctricos
186513,Higiene y cuidado personal,Dental,Cepillos eléctricos
186519,Cosmética y Belleza,Facial,Antimanchas
186522,Salud,Botiquín,Quemaduras y cicatrices
186562,Higiene y cuidado personal,Cabello,Champu
186565,Salud,Botiquín,Termómetros
186566,Infantil,Alimentación infantil,Snacks
186567,Infantil,Alimentación infantil,Snacks
186568,Infantil,Alimentación infantil,Snacks
186571,Infantil,Alimentación infantil,Snacks
186572,Infantil,Alimentación infantil,Snacks
186573,Infantil,Alimentación infantil,Papillas
186575,Infantil,Alimentación infantil,Potitos
186576,Infantil,Alimentación infantil,Potitos
186578,Infantil,Alimentación infantil,Potitos
186583,Nutrición,Pérdida de peso,Drenajes
186587,Nutrición,Nutrición Deportiva,Complementos
186618,Salud,Trastornos digestivos ,Colon irritable
186620,Salud,Trastornos digestivos ,
"186621,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
186648,Cosmética y Belleza,Facial,Antiarrugas
186649,Cosmética y Belleza,Facial,Antiarrugas
186655,Cosmética y Belleza,Sol,Protectores solares
186656,Cosmética y Belleza,Facial,Hidratantes
186659,Infantil,Higiene infantil,Primeros Dientes
186660,Cosmética y Belleza,Sol,Protectores solares
186661,Cosmética y Belleza,Facial,Antiarrugas
186670,Infantil,Accesorios de alimentación,Cubiertos
186672,Infantil,Accesorios de alimentación,Vajillas Infantiles
186673,Infantil,Accesorios de alimentación,Vajillas Infantiles
186674,Infantil,Accesorios de alimentación,Vajillas Infantiles
186679,Infantil,Accesorios de alimentación,Vajillas Infantiles
186686,Higiene y cuidado personal,Cabello,Champús especiales
186688,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
186690,Cosmética y Belleza,Ojos,Contorno de Ojos
186697,Higiene y cuidado personal,Cabello,Anticaída
186698,Salud,Vitaminas y Minerales,Suplementos
186705,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
186719,Cosmética y Belleza,Facial,Antimanchas
186723,Cosmética y Belleza,Facial,Antimanchas
186741,Salud,Descanso y relajación,
186743,Higiene y cuidado personal,Dental,Prótesis Dentales
186746.duplo,Higiene y cuidado personal,Dental,Dentífricos
186769,Cosmética y Belleza,Corporal,Celulitis
186771.1,Cosmética y Belleza,Facial,Ampollas
186772,Cosmética y Belleza,Facial,Ampollas
186773,Higiene y cuidado personal,Dental,Colutorios
186774,Cosmética y Belleza,Facial,Serum
186776,Cosmética y Belleza,Facial,Antiarrugas
186782,Salud,Descanso y relajación,
186796,Salud,Fertilidad,Fertilidad y concepción
186803,Salud,Belleza,piel
186818,Cosmética y Belleza,Facial,Antiarrugas
186819,Cosmética y Belleza,Facial,Piel Seca
186820,Cosmética y Belleza,Facial,Piel Seca
186829,Cosmética y Belleza,Facial,Antiarrugas
186851,Cosmética y Belleza,Facial,Antiarrugas
186853,Higiene y cuidado personal,Corporal,Geles
186856,Higiene y cuidado personal,Corporal,Geles
186857,Higiene y cuidado personal,Corporal,Geles
186884,Higiene y cuidado personal,Nariz y oído,Limpieza
186885,Higiene y cuidado personal,Facial,Mascarillas
186891,Cosmética y Belleza,Ojos,Contorno de Ojos
186892,Cosmética y Belleza,Facial,Antiarrugas
186893,Cosmética y Belleza,Facial,Antiarrugas
186894,Cosmética y Belleza,Facial,Antiarrugas
186895,Cosmética y Belleza,Facial,Antiarrugas
186896,Cosmética y Belleza,Facial,Antiarrugas
186897,Cosmética y Belleza,Facial,Antiarrugas
186936,Infantil,Alimentación infantil,Snacks
186937,Infantil,Alimentación infantil,Snacks
186974,Salud,Salud Sexual,Lubricantes
186975,Salud,Salud Sexual,Lubricantes
186976,Salud,Salud Sexual,Lubricantes
186977,Salud,Salud Sexual,Lubricantes
186987,Salud,Mujer,Infecciones íntimas
186995,Cosmética y Belleza,Corporal,Hidratación
186996,Cosmética y Belleza,Corporal,Hidratación
187006,Cosmética y Belleza,Facial,Piel Atópica
187023,Salud,Botiquín,Quemaduras y cicatrices
187024,Cosmética y Belleza,Sol,Protectores solares
187026,Cosmética y Belleza,Sol,Protectores solares
187027,Higiene y cuidado personal,Nariz y oído,Limpieza
187029,Higiene y cuidado personal,Nariz y oído,Limpieza
187030,Higiene y cuidado personal,Nariz y oído,Limpieza
187036,Infantil,Alimentación infantil,Infusiones
187043,Cosmética y Belleza,Corporal,Celulitis
187048,Cosmética y Belleza,Sol,Protectores solares
187049,Cosmética y Belleza,Sol,Protectores solares
18704M,Salud,Salud Sexual,Accesorios
187050,Salud,Mujer,Embarazo y lactancia
187051,Cosmética y Belleza,Labial,Con Protección Solar
187052,Cosmética y Belleza,Labial,Herpes Labial
187093,Higiene y cuidado personal,Cabello,Champu
187106,Higiene y cuidado personal,Corporal,Desodorantes
187121,Higiene y cuidado personal,Dental,Cepillos Interdentales
187123,Higiene y cuidado personal,Dental,Cepillos Interdentales
187124,Higiene y cuidado personal,Dental,Cepillos Interdentales
187125,Higiene y cuidado personal,Dental,Cepillos Interdentales
187166,Salud,Vitaminas y Minerales,
187170,Salud,Salud Sexual,Accesorios
187174,Salud,Trastornos digestivos ,Función hepática
187177,Cosmética y Belleza,Ojos,Bolsas en ojos
187178,Cosmética y Belleza,Facial,Serum
187182,Higiene y cuidado personal,Dental,Hilo Dental
"187186,Salud,""Huesos, articulaciones y músculos"",Colágeno"
187198,Cosmética y Belleza,Corporal,Hidratación
187241,Higiene y cuidado personal,Corporal,Exfoliantes
187247,Salud,Vitaminas y Minerales,
187257,Higiene y cuidado personal,Íntima,Limpieza
187267,Salud,Belleza,piel
187273,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
187288,Higiene y cuidado personal,Cabello,Peinado y tratamiento
187303,Salud,Vitaminas y Minerales,Multivitamínicos
"187325,Salud,Botiquín,""Apósitos, tiritas y gasas"""
187327pack,Salud,Vitaminas y Minerales, Multivitamínicos
187329,Salud,Vitaminas y Minerales,
187358,Cosmética y Belleza,Sol,Protectores solares
187359,Cosmética y Belleza,Sol,Protectores solares
187382,Salud,Aparato Respiratorio,Garganta y tos
187407,Cosmética y Belleza,Sol,Protectores solares
187416,Higiene y cuidado personal,Íntima,Hidratantes
187446,Cosmética y Belleza,Facial,Antimanchas
187456,Cosmética y Belleza,Facial,Hidratantes
"187461,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
187462,Cosmética y Belleza,Corporal,Hidratación
187480,Cosmética y Belleza,Corporal,Piel Seca y atópica
187496,Salud,Vitaminas y Minerales, Multivitamínicos
187504,Salud,Ortopedia,Plantillas
187506,Salud,Ortopedia,Plantillas
187507,Salud,Ortopedia,Plantillas
187509,Salud,Ortopedia,Plantillas
187510,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
187517,Cosmética y Belleza,Sol,Protectores solares
187521,Cosmética y Belleza,Ojos,Bolsas en ojos
187531,Higiene y cuidado personal,Corporal,Exfoliantes
187533,Cosmética y Belleza,Facial,Hidratantes
187535,Cosmética y Belleza,Facial,Serum
187536,Higiene y cuidado personal,Cabello,Champu
187551,Salud,Belleza,piel
187551x2,Salud,Belleza,piel
187556,Salud,Botiquín,Antimosquitos
187568azul,Salud,Botiquín,Antimosquitos
187568azulmarino,Salud,Botiquín,Antimosquitos
187568blanco,Salud,Botiquín,Antimosquitos
187569,Salud,Belleza,piel
187580,Cosmética y Belleza,Sol,After-Sun
187603,Salud,Botiquín,Termómetros
187616,Salud,Ortopedia,Zapatos y Zuecos
187619,Cosmética y Belleza,Ojos,Contorno de Ojos
187630,Salud,Trastornos digestivos ,Gases
187638,Cosmética y Belleza,Corporal,Piel Seca y atópica
187639,Cosmética y Belleza,Corporal,Hidratación
187640,Cosmética y Belleza,Facial,Hidratantes
187642,Cosmética y Belleza,Facial,Hidratantes
187643,Higiene y cuidado personal,Pies,Hidratantes Pies
187645,Cosmética y Belleza,Manos,Crema de Manos
187646,Cosmética y Belleza,Ojos,Bolsas en ojos
187648,Higiene y cuidado personal,Corporal,Geles
187649,Higiene y cuidado personal,Corporal,Geles
187651,Higiene y cuidado personal,Corporal,Geles
187652,Higiene y cuidado personal,Corporal,Geles
187654,Cosmética y Belleza,Corporal,Hidratación
187655,Cosmética y Belleza,Corporal,Hidratación
187703,Cosmética y Belleza,Sol,Protectores solares
187720,Salud,Vitaminas y Minerales, Multivitamínicos
187748,Salud,Óptica,Toallitas Oculares
187750,Higiene y cuidado personal,Corporal,Geles
187755,Cosmética y Belleza,Facial,Serum
187766,Cosmética y Belleza,Corporal,Piel Seca y atópica
187767,Cosmética y Belleza,Facial,Serum
187782,Cosmética y Belleza,Facial,Antimanchas
187792,Nutrición,Pérdida de peso,Drenajes
187819,Cosmética y Belleza,Sol,Protección Nieve
187821,Salud,Botiquín,Antimosquitos
187822.9,Salud,Trastornos digestivos ,Flora intestinal y digestión
187824,Cosmética y Belleza,Facial,Antimanchas
187825,Cosmética y Belleza,Facial,Antimanchas
187826,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
187834.duplo,Higiene y cuidado personal,Cabello,Champu
187843,Salud,Vitaminas y Minerales,Suplementos
187847.0,Salud,Vitaminas y Minerales,Jalea real
187848,Cosmética y Belleza,Facial,Piel Atópica
187876,Salud,Botiquín,Suero fisiológico
187884,Higiene y cuidado personal,Pies,Desodorante de Pies
187903,Nutrición,Pérdida de peso,Activadores
187907,Salud,Botiquín,Quemaduras y cicatrices
187915,Cosmética y Belleza,Corporal,Hidratación
187919,Higiene y cuidado personal,Íntima,Limpieza
187921,Higiene y cuidado personal,Íntima,Limpieza
187923,Salud,Botiquín,heridas
187924,Salud,Botiquín,heridas
187925,Cosmética y Belleza,Corporal,Hidratación
187926,Cosmética y Belleza,Corporal,Hidratación
187929,Cosmética y Belleza,Corporal,Piel Seca y atópica
187944,Cosmética y Belleza,Facial,Antiarrugas
187947,Salud,Botiquín,Antimosquitos
187952,Higiene y cuidado personal,Corporal,Desodorantes
187953,Cosmética y Belleza,Facial,Antiarrugas
"187975,Salud,""Huesos, articulaciones y músculos"",Colágeno"
187978,Salud,Trastornos digestivos ,Colon irritable
187983,Cosmética y Belleza,Facial,Antimanchas
187984,Cosmética y Belleza,Facial,Antiarrugas
187985,Salud,Problemas cardiovasculares y circulación,Hemorroides
187986,Salud,Trastornos digestivos ,
"188005,Salud,""Huesos, articulaciones y músculos"",Colágeno"
188006,Salud,Vitaminas y Minerales,Minerales
"188007,Salud,""Huesos, articulaciones y músculos"",Colágeno"
188009,Salud,Aparato Respiratorio,Garganta y tos
188014.duplo,Higiene y cuidado personal,Corporal,Geles
188016,Cosmética y Belleza,Uñas,Hongos
188024,Cosmética y Belleza,Facial,Antimanchas
188030,Higiene y cuidado personal,Pies,Hidratantes Pies
188101,Salud,Botiquín,Golpes y hematomas
188127,Salud,Óptica,Colirios
188152,Cosmética y Belleza,Sol,After-Sun
188155,Cosmética y Belleza,Sol,Protección Nieve
188161,Cosmética y Belleza,Facial,Rojeces
188176,Salud,Vitaminas y Minerales,Suplementos
188192,Salud,Salud Sexual,Falta de Deseo
188291,Salud,Mujer,Embarazo y lactancia
"188298,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
188299,Higiene y cuidado personal,Íntima,Limpieza
"188309,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
188322,Cosmética y Belleza,Facial,Serum
188322y155835,Cosmética y Belleza,Facial,Antiarrugas
188322y187983,Cosmética y Belleza,Facial,Antimanchas
188415,Infantil,Biberones,Biberones
188416,Infantil,Biberones,Biberones
188419,Infantil,Biberones,Tetinas
188420,Infantil,Biberones,Tetinas
